cust_id,account_num,event_dt,conversation_summary,driver,sub_driver
C0001,AC10001,2025-12-01,Customer experiences nightly internet drops at 9 PM,Network,Scheduled outages
C0002,AC10002,2025-12-01,Customer reports being charged twice on their last billing statement,Billing,Duplicate charges
C0003,AC10003,2025-12-01,Customer expresses frustration over being on hold for an extended period with support,Experience,Long hold times
C0004,AC10004,2025-12-01,Customer expresses inability to pay bill due to job loss,Financial Hardship,Inability to pay due to unemployment
C0005,AC10005,2025-12-01,Customer mentions a competitor offering a cheaper plan,Competitor Offer,Cheaper pricing
C0006,AC10006,2025-12-01,Customer reports weak network signal indoors,Network,Weak signal strength
C0007,AC10007,2025-12-01,Customer questions an unusually high bill with no explanation provided,Billing,Unexplained charges
C0008,AC10008,2025-12-01,Customer experiences app crashes during bill payment attempts,Billing,App functionality issues
C0009,AC10009,2025-12-01,Customer requests a payment extension due to financial difficulties,Financial Hardship,Payment extension request
C0010,AC10010,2025-12-01,Customer mentions a competitor offering better coverage in their area,Competitor Offer,Coverage comparison
,,,Customer provided an unclear or incomplete message.,Experience,Unclear communication
C0011,AC10011,2025-12-02,Customer reports extremely slow internet speed during the evenings,Network,Slow performance
C0012,AC10012,2025-12-02,Customer inquires about an unexpected fee on their invoice,Billing,Unexplained charges
C0013,AC10013,2025-12-02,Customer experiences repeated call transfers by support agents,Experience,Call handling issues
C0014,AC10014,2025-12-02,Customer expresses inability to pay the bill this month,Financial Hardship,Payment difficulty
C0015,AC10015,2025-12-02,Customer mentions a competitor offering free installation services,Competitor Offer,Free installation promotion
C0016,AC10016,2025-12-02,Customer experiences random call drops,Network,Call quality issues
C0017,AC10017,2025-12-02,Customer questions late fee despite timely payment,Billing,Late fee dispute
C0018,AC10018,2025-12-02,Customer reports that the technician did not arrive for the scheduled appointment,Experience,Missed appointment
C0019,AC10019,2025-12-02,Customer requests a lower-cost plan due to financial difficulties,Financial Hardship,Request for reduced pricing
C0020,AC10020,2025-12-02,Customer compares competitor plans and finds them cheaper,Competitor Offer,Price comparison
,,,Customer provided an unclear or incomplete response,Experience,Unclear communication
C0021,AC10021,2025-12-03,Customer experiences frequent Wi-Fi disconnections throughout the day,Network,Frequent disconnections
C0022,AC10022,2025-12-03,Customer notices removal of promotional discount from their bill,Billing,Loss of promotional discount
C0023,AC10023,2025-12-03,Customer experienced rudeness and unhelpfulness from service representatives,Experience,Poor customer service
C0024,AC10024,2025-12-03,Customer expresses difficulty in managing payment obligations,Financial Hardship,Payment difficulties
C0025,AC10025,2025-12-03,Customer mentions a competitor offering unlimited data,Competitor Offer,Unlimited data plan
C0026,AC10026,2025-12-03,Customer reports no signal at their office location,Network,No signal
C0027,AC10027,2025-12-03,Customer disputes bill amount due to discrepancies with usage,Billing,Billing discrepancy
C0028,AC10028,2025-12-03,Customer finds the app confusing and difficult to navigate,Experience,User interface issues
C0029,AC10029,2025-12-03,Customer reports loss of income and requests payment assistance,Financial Hardship,Payment assistance request
C0030,AC10030,2025-12-03,Customer mentions competitor offering superior roaming options,Competitor Offer,Roaming options comparison
,,,Customer input is unclear or incomplete.,Experience,Unclear communication
C0031,AC10031,2025-12-04,Customer experiences internet outages every weekend,Network,Scheduled downtime
C0032,AC10032,2025-12-04,Customer reports being overcharged for international call charges,Billing,Overcharge dispute
C0033,AC10033,2025-12-04,Customer's issue was closed without resolution,Experience,Unresolved ticket closure
C0034,AC10034,2025-12-04,Customer expresses inability to pay the full bill this month,Financial Hardship,Partial payment request
C0035,AC10035,2025-12-04,Customer mentions a competitor offering cashback incentives,Competitor Offer,Cashback promotion
C0036,AC10036,2025-12-04,Customer reports mobile data issues in their area,Network,Service outage
C0037,AC10037,2025-12-04,Customer reports monthly billing errors,Billing,Recurring billing mistakes
C0038,AC10038,2025-12-04,Customer expresses frustration over lack of follow-up from support,Experience,Poor communication
C0039,AC10039,2025-12-04,Customer requests a hardship plan because of medical expenses,Financial Hardship,Medical expenses
C0040,AC10040,2025-12-04,"Customer compares family plans with a competitor, indicating dissatisfaction with current offerings",Competitor Offer,Family plan comparison
,,,Customer provided an unclear or incomplete message.,Experience,Unclear communication
C0041,AC10041,2025-12-05,Customer experiences internet disconnections during video calls,Network,Connection stability
